first_name,last_name,age,gender,race,death_date,address,neighborhood,type,longitude,latitude
William,Garnica,23.0,Male,Black,1992-10-05,16th Street & Central Avenue	Downtown,,Homicide,-118.2274453,34.20626736
Edward Song,Morgan,26.0,Male,Black,1993-09-23,4404 S. Western Ave.	Vermont Square,,Homicide,-118.1978996,34.10166425
Gregory,Williams,27.0,Male,Latino,1993-05-04,Santa Monica Boulevard & Seward Street	Hollywood,,Homicide,-118.2689905,34.01143296
Wallace,Aguilar,24.0,Male,Latino,1993-01-02,Santa Monica Boulevard & Seward Street	Hollywood,,Death,-118.3566142,33.93150951
DeAndre,Andrew,45.0,Male,Black,1993-09-12,Vermont Avenue & Santa Monica Boulevard	East Hollywood,,Homicide,-118.2863123,33.98331901
Howard Eugene,Channell,32.0,Male,Latino,1993-08-02,614 S. Locust Ave.	Compton,,Officer-involved shooting,-118.3372098,34.04585019
Patrick,Pineda,25.0,Male,Black,1993-04-18,3100 block of South Main Street	Historic South-Central,,Officer-involved shooting,-118.1629767,34.06894264
Jimmie,Haines,24.0,Male,Black,1992-06-04,Santa Monica Boulevard & Seward Street	Hollywood,,Homicide,-118.342898,34.07508266
Suzanne R.,Alvarez,21.0,Male,Latino,1992-05-08,Vermont & Leeward avenues	Koreatown,,Homicide,-118.3635408,33.94041068
Paul D.,Lam,39.0,Male,Latino,1992-11-25,2137 E. 115th St.	Watts,,Homicide,-118.2778453,33.90089308
Anthony J.,Evanahen,66.0,Male,Latino,1993-04-10,Harbor Freeway near Slauson Avenue	South Park,,Not riot-related,-118.2789047,33.99863701
John H.,Martin,41.0,Male,White,1993-03-17,near North Los Robles Avenue & Claremont Street	Pasadena,,Officer-involved shooting,-118.0708994,34.20065185
Dwight,Garnica,41.0,Male,Asian,1992-05-21,Florence Avenue & Cimarron Street	Chesterfield Square,,Homicide,-118.1640365,34.01998837
Victor R.,Netherly,29.0,Male,Latino,1993-04-25,near North Los Robles Avenue & Claremont Street	Pasadena,,Officer-involved shooting,-118.2473531,34.03229561
Elias,Ramirez,15.0,Male,Black,1993-03-02,16th Street & Central Avenue	Downtown,,Homicide,-118.226808,33.95455092
Franklin,Davis Jr.,50.0,Male,Black,1993-10-14,Florence Avenue & Flower Street	Florence,,Homicide,-118.3483941,34.17721373
William,Evanahen,75.0,Female,Asian,1993-04-27,Florence Avenue & Flower Street	Florence,,Homicide,-118.2455634,34.08210754
Willie Bernard,Doller,42.0,Male,Black,1993-07-12,Holt & Loranne avenues	Pomona,,Homicide,-118.4277164,33.89118086
Harry,Doe #80,33.0,Male,White,1992-06-23,16th Street & Central Avenue	Downtown,,Death,-118.2307078,34.09036998
Jose L.,Rivas,21.0,Male,Black,1992-12-04,Gage & Western avenues	Chesterfield Square,,Officer-involved shooting,-118.1378204,33.97611383
George A.,Bettan,31.0,Male,Latino,1993-05-05,3100 Rosecrans Ave.	Hawthorne,,Homicide,-118.4236214,34.20220108
Betty,Benavidez,17.0,Male,Black,1993-02-13,4028 Santa Monica Blvd.	Silver Lake,,Homicide,-118.3128367,33.95921564
Juanita,Pettaway,28.0,Male,Black,1993-06-19,4365 S. Vermont Ave.	Vermont Square,,Homicide,-118.4121383,34.10527744
Darnell R.,Garnica,43.0,Male,Asian,1992-06-04,4404 S. Western Ave.	Vermont Square,,Homicide,-118.406726,33.97554383
Edward Song,Garcia Rivera,64.0,Female,Black,1993-07-11,Harbor Freeway near Slauson Avenue	South Park,,Homicide,-118.4050241,34.10918933
Kevin J.,Neal Jr.,31.0,Male,Latino,1993-06-02,2137 E. 115th St.	Watts,,Death,-118.3264003,33.94036858
Eduardo C.,Martin,22.0,Male,White,1992-12-29,1439 E. Walnut	Central-Alameda,,Not riot-related,-118.3173332,34.2696433
Andreas,Garnica,20.0,Male,Black,1993-06-15,Florence Avenue & Flower Street	Florence,,Death,-118.2852869,34.19081356
Matthew D.,Aguilar,48.0,Male,Black,1992-10-04,614 S. Locust Ave.	Compton,,Homicide,-118.4160847,34.20316066
Harry,Tope,22.0,Male,Latino,1992-10-15,Vermont & Leeward avenues	Koreatown,,Homicide,-118.233672,33.98239194
Juana,Mallory,39.0,Male,Latino,1992-11-24,614 S. Locust Ave.	Compton,,Homicide,-118.1782241,33.95320237
Kevin J.,Haines,16.0,Male,White,1993-04-28,10621 Sepulveda Blvd.	Mission Hills,,Not riot-related,-118.4386435,34.04185389
Betty,Taylor,40.0,Male,Black,1992-04-30,4365 S. Vermont Ave.	Vermont Square,,Death,-118.269202,34.00520739
Vivian,Benson,39.0,Male,Black,1993-09-22,12732 Bess St.	Baldwin Park,,Homicide,-118.3288262,34.15603629
DeAndre,Garcia,43.0,Male,Black,1992-10-04,7608 S. Compton Ave.	Compton,,Homicide,-118.0780979,33.94001782
Wallace,Pettaway,22.0,Male,White,1992-09-24,2600 block of Florence Avenue	Huntington Park,,Death,-118.2837494,33.96676919
Eduardo C.,Ward,19.0,Male,Black,1993-05-30,Florence Avenue & Cimarron Street	Chesterfield Square,,Homicide,-118.1363989,33.9102119
Charles W.,Rivas,19.0,Male,Black,1992-08-24,Vermont & Leeward avenues	Koreatown,,Homicide,-118.3057177,33.96616677
Juanita,Neal Jr.,24.0,Male,White,1993-10-01,Florence Avenue & Cimarron Street	Chesterfield Square,,Homicide,-118.2929257,34.11508211
